Lista de numeros: 
<1>,  Valor: 0.002442598925256473
<738>,  Valor: 0.7425500732779677
<739>,  Valor: 0.5232046897899365
<740>,  Valor: 0.16511968734733756
<741>,  Valor: 0.7860283341475329
<742>,  Valor: 0.7835857352222765
<743>,  Valor: 0.7127503663898388
<744>,  Valor: 0.6595017098192477
<745>,  Valor: 0.11577918905715681
<746>,  Valor: 0.35564240351734244
<747>,  Valor: 0.3082559843673669
<748>,  Valor: 0.9350268685881779
<749>,  Valor: 0.10210063507572056
<750>,  Valor: 0.9594528578407425
<751>,  Valor: 0.8104543234000977
<752>,  Valor: 0.49145090376160233
<753>,  Valor: 0.24474841231069858
<754>,  Valor: 0.09379579872984856
<755>,  Valor: 0.7186126038104543
<756>,  Valor: 0.8295065950170982
<757>,  Valor: 0.043478260869565216
<758>,  Valor: 0.2598925256472887
<759>,  Valor: 0.5329750854909624
<760>,  Valor: 0.4484611626770884
<761>,  Valor: 0.9990229604298974
<762>,  Valor: 0.9574987787005373
<763>,  Valor: 0.7537860283341475
<764>,  Valor: 0.84904738641915
<765>,  Valor: 0.6101612115290669
<766>,  Valor: 0.6858817782120176
<767>,  Valor: 0.8808011724474841
<768>,  Valor: 0.530532486565706
<769>,  Valor: 0.3776257938446507
<770>,  Valor: 0.9457743038593063
<771>,  Valor: 0.4137762579384465
<772>,  Valor: 0.9936492427943332
<773>,  Valor: 0.8016609672691744
<774>,  Valor: 0.23644357596482657
<775>,  Valor: 0.8534440644846116
<776>,  Valor: 0.7376648754274548
<777>,  Valor: 0.3815339521250611
<778>,  Valor: 0.05862237420615535
<779>,  Valor: 0.6990718124084025
<780>,  Valor: 0.2628236443575965
<781>,  Valor: 0.6179775280898876
<782>,  Valor: 0.9125549584758182
<783>,  Valor: 0.4509037616023449
<784>,  Valor: 0.06936980947728383
<785>,  Valor: 0.010258915486077186
<786>,  Valor: 0.2970200293111871
<787>,  Valor: 0.6091841719589643
<788>,  Valor: 0.6575476306790425
<789>,  Valor: 0.05911089399120664
<790>,  Valor: 0.7132388861748901
<791>,  Valor: 0.6736687835857352
<792>,  Valor: 0.5266243282852956
<793>,  Valor: 0.2642892037127504
<794>,  Valor: 0.6604787493893503
<795>,  Valor: 0.1441133365901319
<796>,  Valor: 0.17684416218856863
<797>,  Valor: 0.1255495847581827
<798>,  Valor: 0.6389838788470933
<799>,  Valor: 0.5212506106497313
<800>,  Valor: 0.1084513922813874
<801>,  Valor: 0.1431362970200293
<802>,  Valor: 0.14851001465559355
<803>,  Valor: 0.30434782608695654
<804>,  Valor: 0.8216902784562775
<805>,  Valor: 0.8172936003908158
<806>,  Valor: 0.6897899364924279
<807>,  Valor: 0.9941377625793845
<808>,  Valor: 0.815828041035662
<809>,  Valor: 0.6472887151929653
<810>,  Valor: 0.7620908646800195
<811>,  Valor: 0.0893991206643869
<812>,  Valor: 0.5911089399120665
<813>,  Valor: 0.13336590131900342
<814>,  Valor: 0.865657059110894
<815>,  Valor: 0.09135319980459208
<816>,  Valor: 0.6477772349780166
<817>,  Valor: 0.776257938446507
<818>,  Valor: 0.5002442598925256
<819>,  Valor: 0.49975574010747437
<820>,  Valor: 0.4855886663409868
<821>,  Valor: 0.07474352711284807
<822>,  Valor: 0.16609672691744015
<823>,  Valor: 0.8143624816805081
<824>,  Valor: 0.6047874938935027
<825>,  Valor: 0.5300439667806546
<826>,  Valor: 0.36345872007816316
<827>,  Valor: 0.5349291646311676
<828>,  Valor: 0.5051294577430386
<829>,  Valor: 0.6414264777723497
<830>,  Valor: 0.592085979482169
<831>,  Valor: 0.1617000488519785
<832>,  Valor: 0.6868588177821202
<833>,  Valor: 0.9091353199804592
<834>,  Valor: 0.3517342452369321
<835>,  Valor: 0.19491939423546653
<836>,  Valor: 0.6497313141182218
<837>,  Valor: 0.8329262335124572
<838>,  Valor: 0.142647777234978
<839>,  Valor: 0.134342940889106
<840>,  Valor: 0.8939912066438691
<841>,  Valor: 0.9130434782608695
<842>,  Valor: 0.4650708353688324
<843>,  Valor: 0.4802149487054226
<844>,  Valor: 0.9193942354665364
<845>,  Valor: 0.6492427943331704
<846>,  Valor: 0.8187591597459697
<847>,  Valor: 0.7322911577918906
<848>,  Valor: 0.2256961406936981
<849>,  Valor: 0.5417684416218856
<850>,  Valor: 0.7034684904738642
<851>,  Valor: 0.3903273082559844
<852>,  Valor: 0.3136297020029311
<853>,  Valor: 0.0903761602344895
<854>,  Valor: 0.6194430874450415
<855>,  Valor: 0.9550561797752809
<856>,  Valor: 0.6829506595017099
<857>,  Valor: 0.7957987298485588
<858>,  Valor: 0.06643869076697606
<859>,  Valor: 0.9257449926722032
<860>,  Valor: 0.8334147532975086
<861>,  Valor: 0.15681485100146556
<862>,  Valor: 0.5451880801172447
<863>,  Valor: 0.802638006839277
<864>,  Valor: 0.26477772349780165
<865>,  Valor: 0.6746458231558378
<866>,  Valor: 0.5549584758182706
<867>,  Valor: 0.08549096238397655
<868>,  Valor: 0.4777723497801661
<869>,  Valor: 0.8485588666340986
<870>,  Valor: 0.5959941377625794
<871>,  Valor: 0.27503663898387887
<872>,  Valor: 0.9721543722520762
<873>,  Valor: 0.17830972154372252
<874>,  Valor: 0.16805080605764533
<875>,  Valor: 0.8710307767464582
<876>,  Valor: 0.24719101123595505
<877>,  Valor: 0.16463116756228627
<878>,  Valor: 0.7718612603810454
<879>,  Valor: 0.3727405959941378
<880>,  Valor: 0.8041035661944309
<881>,  Valor: 0.3072789447972643
<882>,  Valor: 0.9066927210552027
<883>,  Valor: 0.2808988764044944
<884>,  Valor: 0.14167073766487542
<885>,  Valor: 0.10600879335613092
<886>,  Valor: 0.0723009281875916
<887>,  Valor: 0.09526135808500244
<888>,  Valor: 0.761113825109917
<889>,  Valor: 0.06106497313141182
<890>,  Valor: 0.7699071812408402
<891>,  Valor: 0.3160723009281876
<892>,  Valor: 0.1612115290669272
<893>,  Valor: 0.6726917440156326
<894>,  Valor: 0.49829018075232046
<895>,  Valor: 0.4430874450415242
<896>,  Valor: 0.8431851489985345
<897>,  Valor: 0.44015632633121643
<898>,  Valor: 0.7581827063996092
<899>,  Valor: 0.9765510503175379
<900>,  Valor: 0.3058133854421104
<901>,  Valor: 0.8641914997557401
<902>,  Valor: 0.048851978505129456
<903>,  Valor: 0.4157303370786517
<904>,  Valor: 0.049829018075232046
<905>,  Valor: 0.4440644846116268
<906>,  Valor: 0.8715192965315095
<907>,  Valor: 0.2613580850024426
<908>,  Valor: 0.575476306790425
<909>,  Valor: 0.6805080605764533
<910>,  Valor: 0.7249633610161211
<911>,  Valor: 0.013190034196384953
<912>,  Valor: 0.38202247191011235
<913>,  Valor: 0.07278944797264289
<914>,  Valor: 0.10942843185148998
<915>,  Valor: 0.1714704445530044
<916>,  Valor: 0.9702002931118711
<917>,  Valor: 0.12164142647777235
<918>,  Valor: 0.525647288715193
<919>,  Valor: 0.23595505617977527
<920>,  Valor: 0.8392769907181241
<921>,  Valor: 0.3268197361993161
<922>,  Valor: 0.47288715192965314
<923>,  Valor: 0.7068881289692233
<924>,  Valor: 0.48949682462139715
<925>,  Valor: 0.1880801172447484
<926>,  Valor: 0.4513922813873962
<927>,  Valor: 0.08353688324377137
<928>,  Valor: 0.4211040547142159
<929>,  Valor: 0.205666829506595
<930>,  Valor: 0.9614069369809477
<931>,  Valor: 0.8671226184660479
<932>,  Valor: 0.1338544211040547
<933>,  Valor: 0.8798241328773815
<934>,  Valor: 0.5021983390327308
<935>,  Valor: 0.5564240351734245
<936>,  Valor: 0.12799218368343918
<937>,  Valor: 0.709819247679531
<938>,  Valor: 0.5744992672203224
<939>,  Valor: 0.6521739130434783
<940>,  Valor: 0.903761602344895
<941>,  Valor: 0.19589643380556912
<942>,  Valor: 0.6780654616511969
<943>,  Valor: 0.6541279921836834
<944>,  Valor: 0.9604298974108452
<945>,  Valor: 0.8387884709330727
<946>,  Valor: 0.3126526624328285
<947>,  Valor: 0.06204201270151441
<948>,  Valor: 0.7982413287738154
<949>,  Valor: 0.13727405959941377
<950>,  Valor: 0.9789936492427943
<951>,  Valor: 0.37664875427454814
<952>,  Valor: 0.9174401563263312
<953>,  Valor: 0.5925744992672203
<954>,  Valor: 0.17586712261846604
<955>,  Valor: 0.09721543722520762
<956>,  Valor: 0.8177821201758672
<957>,  Valor: 0.7039570102589154
<958>,  Valor: 0.4044943820224719
<959>,  Valor: 0.7244748412310699
<960>,  Valor: 0.9995114802149487
<961>,  Valor: 0.9716658524670249
<962>,  Valor: 0.16414264777723497
<963>,  Valor: 0.7576941866145579
<964>,  Valor: 0.9623839765510503
<965>,  Valor: 0.8954567659990229
<966>,  Valor: 0.9555446995603322
<967>,  Valor: 0.6971177332681974
<968>,  Valor: 0.2061553492916463
<969>,  Valor: 0.9755740107474352
<970>,  Valor: 0.2774792379091353
<971>,  Valor: 0.04250122129946263
<972>,  Valor: 0.23155837811431362
<973>,  Valor: 0.7117733268197362
<974>,  Valor: 0.6311675622862726
<975>,  Valor: 0.29457743038593065
<976>,  Valor: 0.5383488031265267
<977>,  Valor: 0.6042989741084513
<978>,  Valor: 0.5158768930141671
<979>,  Valor: 0.9531021006350757
<980>,  Valor: 0.6262823644357597
<981>,  Valor: 0.1529066927210552
<982>,  Valor: 0.4318514899853444
<983>,  Valor: 0.517342452369321
<984>,  Valor: 0.9956033219345384
<985>,  Valor: 0.8583292623351245
<986>,  Valor: 0.8793356130923302
<987>,  Valor: 0.4880312652662433
<988>,  Valor: 0.14557889594528578
<989>,  Valor: 0.21934538348803126
<990>,  Valor: 0.3575964826575476
<991>,  Valor: 0.36492427943331707
<992>,  Valor: 0.5774303859306302
<993>,  Valor: 0.7371763556424035
<994>,  Valor: 0.3673668783585735
<995>,  Valor: 0.6482657547630679
<996>,  Valor: 0.7904250122129947
<997>,  Valor: 0.9110893991206643
<998>,  Valor: 0.40840254030288226
<999>,  Valor: 0.8378114313629702
<1000>,  Valor: 0.28431851489985344
<1001>,  Valor: 0.24084025403028822
<1002>,  Valor: 0.9809477283829995
<1003>,  Valor: 0.4333170493404983
<1004>,  Valor: 0.5598436736687836
<1005>,  Valor: 0.22716170004885197
<1006>,  Valor: 0.5842696629213483
<1007>,  Valor: 0.9355153883732291
<1008>,  Valor: 0.1162677088422081
<1009>,  Valor: 0.36980947728383
<1010>,  Valor: 0.7191011235955056
<1011>,  Valor: 0.8436736687835857
<1012>,  Valor: 0.45432340009770394
<1013>,  Valor: 0.16853932584269662
<1014>,  Valor: 0.8851978505129457
<1015>,  Valor: 0.6580361504640938
<1016>,  Valor: 0.07327796775769418
<1017>,  Valor: 0.12359550561797752
<1018>,  Valor: 0.5823155837811431
<1019>,  Valor: 0.878847093307279
<1020>,  Valor: 0.4738641914997557
<1021>,  Valor: 0.7352222765021983
<1022>,  Valor: 0.31069858329262334
<1023>,  Valor: 0.00537371763556424
<1024>,  Valor: 0.15534929164631167
<1025>,  Valor: 0.5026868588177821
<1026>,  Valor: 0.570591108939912
<1027>,  Valor: 0.5388373229115779
<1028>,  Valor: 0.618466047874939
<1029>,  Valor: 0.9267220322423058
<1030>,  Valor: 0.8617489008304836
<1031>,  Valor: 0.978505129457743
<1032>,  Valor: 0.36248168050806057
<1033>,  Valor: 0.5065950170981924
<1034>,  Valor: 0.6839276990718124
<1035>,  Valor: 0.824132877381534
<1036>,  Valor: 0.8881289692232536
<1037>,  Valor: 0.743038593063019
<1038>,  Valor: 0.537371763556424
<1039>,  Valor: 0.5759648265754763
<1040>,  Valor: 0.6946751343429409
<1041>,  Valor: 0.1353199804592086
<1042>,  Valor: 0.9223253541768441
<1043>,  Valor: 0.7342452369320958
<1044>,  Valor: 0.28236443575964826
<1045>,  Valor: 0.18417195896433805
<1046>,  Valor: 0.33805569125549584
<1047>,  Valor: 0.7987298485588666
<1048>,  Valor: 0.15144113336590131
<1049>,  Valor: 0.3893502686858818
<1050>,  Valor: 0.285295554469956
<1051>,  Valor: 0.26917440156326333
<1052>,  Valor: 0.8021494870542257
<1053>,  Valor: 0.25061064973131414
<1054>,  Valor: 0.26380068392769906
<1055>,  Valor: 0.6463116756228627
<1056>,  Valor: 0.7337567171470445
<1057>,  Valor: 0.26819736199316074
<1058>,  Valor: 0.7738153395212506
<1059>,  Valor: 0.42940889106008795
<1060>,  Valor: 0.44650708353688323
<1061>,  Valor: 0.9423546653639472
<1062>,  Valor: 0.3146067415730337
<1063>,  Valor: 0.11871030776746458
<1064>,  Valor: 0.4406448461162677
<1065>,  Valor: 0.7723497801660967
<1066>,  Valor: 0.3869076697606253
<1067>,  Valor: 0.2144601856375183
<1068>,  Valor: 0.2159257449926722
<1069>,  Valor: 0.25842696629213485
<1070>,  Valor: 0.49047386419149974
<1071>,  Valor: 0.2164142647777235
<1072>,  Valor: 0.27259404005862237
<1073>,  Valor: 0.9013190034196384
<1074>,  Valor: 0.1250610649731314
<1075>,  Valor: 0.6248168050806058
<1076>,  Valor: 0.11040547142159257
<1077>,  Valor: 0.19980459208597948
<1078>,  Valor: 0.7914020517830972
<1079>,  Valor: 0.9394235466536395
<1080>,  Valor: 0.22960429897410845
<1081>,  Valor: 0.655105031753786
<1082>,  Valor: 0.9887640449438202
<1083>,  Valor: 0.659990229604299
<1084>,  Valor: 0.12994626282364435
<1085>,  Valor: 0.7664875427454811
<1086>,  Valor: 0.2169027845627748
<1087>,  Valor: 0.28676111382510994
<1088>,  Valor: 0.31167562286272593
<1089>,  Valor: 0.033707865168539325
<1090>,  Valor: 0.9770395701025891
<1091>,  Valor: 0.31998045920859797
<1092>,  Valor: 0.27454811919882754
<1093>,  Valor: 0.9579872984855886
<1094>,  Valor: 0.767953102100635
<1095>,  Valor: 0.25940400586223744
<1096>,  Valor: 0.5188080117244749
<1097>,  Valor: 0.03761602344894968
<1098>,  Valor: 0.0898876404494382
<1099>,  Valor: 0.605276013678554
<1100>,  Valor: 0.5442110405471422
<1101>,  Valor: 0.7743038593063019
<1102>,  Valor: 0.44357596482657546
<1103>,  Valor: 0.857352222765022
<1104>,  Valor: 0.8510014655593552
<1105>,  Valor: 0.666829506595017
<1106>,  Valor: 0.32828529555446995
<1107>,  Valor: 0.5153883732291158
<1108>,  Valor: 0.9389350268685882
<1109>,  Valor: 0.2154372252076209
<1110>,  Valor: 0.24425989252564728
<1111>,  Valor: 0.07962872496336101
<1112>,  Valor: 0.3077674645823156
<1113>,  Valor: 0.9208597948216902
<1114>,  Valor: 0.6917440156326331
<1115>,  Valor: 0.05031753786028334
<1116>,  Valor: 0.4582315583781143
<1117>,  Valor: 0.281875915974597
<1118>,  Valor: 0.1700048851978505
<1119>,  Valor: 0.9276990718124084
<1120>,  Valor: 0.8900830483634588
<1121>,  Valor: 0.7997068881289692
<1122>,  Valor: 0.1797752808988764
<1123>,  Valor: 0.21055202735710796
<1124>,  Valor: 0.10258915486077186
<1125>,  Valor: 0.97361993160723
<1126>,  Valor: 0.22081094284318514
<1127>,  Valor: 0.4000977039570103
<1128>,  Valor: 0.596971177332682
<1129>,  Valor: 0.30337078651685395
<1130>,  Valor: 0.7933561309233024
<1131>,  Valor: 0.9960918417195896
<1132>,  Valor: 0.8724963361016121
<1133>,  Valor: 0.2896922325354177
<1134>,  Valor: 0.3966780654616512
<1135>,  Valor: 0.4978016609672692
<1136>,  Valor: 0.4289203712750366
<1137>,  Valor: 0.4323400097703957
<1138>,  Valor: 0.5315095261358085
<1139>,  Valor: 0.4059599413776258
<1140>,  Valor: 0.7669760625305325
<1141>,  Valor: 0.23106985832926233
<1142>,  Valor: 0.6976062530532486
<1143>,  Valor: 0.22032242305813385
<1144>,  Valor: 0.3859306301905227
<1145>,  Valor: 0.18612603810454323
<1146>,  Valor: 0.394723986321446
<1147>,  Valor: 0.441133365901319
<1148>,  Valor: 0.7865168539325843
<1149>,  Valor: 0.797752808988764
<1150>,  Valor: 0.12310698583292623
<1151>,  Valor: 0.5681485100146556
<1152>,  Valor: 0.4680019540791402
<1153>,  Valor: 0.5652173913043478
<1154>,  Valor: 0.38299951148021494
<1155>,  Valor: 0.10112359550561797
<1156>,  Valor: 0.9311187103077675
<1157>,  Valor: 0.9892525647288715
<1158>,  Valor: 0.6741573033707865
<1159>,  Valor: 0.5407914020517831
<1160>,  Valor: 0.6751343429408891
<1161>,  Valor: 0.5691255495847581
<1162>,  Valor: 0.4963361016121153
<1163>,  Valor: 0.38641914997557403
<1164>,  Valor: 0.20029311187103077
<1165>,  Valor: 0.8055691255495847
<1166>,  Valor: 0.3497801660967269
<1167>,  Valor: 0.13825109916951636
<1168>,  Valor: 0.006839276990718124
<1169>,  Valor: 0.1978505129457743
<1170>,  Valor: 0.734733756717147
<1171>,  Valor: 0.29653150952613583
<1172>,  Valor: 0.5950170981924768
<1173>,  Valor: 0.24670249145090375
<1174>,  Valor: 0.15046409379579873
<1175>,  Valor: 0.3610161211529067
<1176>,  Valor: 0.46409379579872984
<1177>,  Valor: 0.4518808011724475
<1178>,  Valor: 0.09770395701025891
<1179>,  Valor: 0.8319491939423547
<1180>,  Valor: 0.11431362970200293
<1181>,  Valor: 0.31314118221787984
<1182>,  Valor: 0.07620908646800195
<1183>,  Valor: 0.20859794821690278
<1184>,  Valor: 0.04592085979482169
<1185>,  Valor: 0.33072789447972645
<1186>,  Valor: 0.5862237420615535
<1187>,  Valor: 0.9921836834391793
<1188>,  Valor: 0.7591597459697118
<1189>,  Valor: 0.004396678065461651
<1190>,  Valor: 0.1270151441133366
<1191>,  Valor: 0.6814851001465559
<1192>,  Valor: 0.7532975085490963
<1193>,  Valor: 0.8348803126526624
<1194>,  Valor: 0.19931607230092818
<1195>,  Valor: 0.7772349780166097
<1196>,  Valor: 0.5285784074255008
<1197>,  Valor: 0.32095749877870056
<1198>,  Valor: 0.30288226673180263
<1199>,  Valor: 0.7791890571568149
<1200>,  Valor: 0.5852467024914509
<1201>,  Valor: 0.9638495359062041
<1202>,  Valor: 0.9379579872984856
<1203>,  Valor: 0.18710307767464582
<1204>,  Valor: 0.4230581338544211
<1205>,  Valor: 0.2623351245725452
<1206>,  Valor: 0.6038104543234001
<1207>,  Valor: 0.5017098192476795
<1208>,  Valor: 0.542256961406937
<1209>,  Valor: 0.7176355642403517
<1210>,  Valor: 0.8011724474841231
<1211>,  Valor: 0.22227650219833903
<1212>,  Valor: 0.4425989252564729
<1213>,  Valor: 0.8290180752320468
<1214>,  Valor: 0.029311187103077674
<1215>,  Valor: 0.8495359062042013
<1216>,  Valor: 0.6243282852955545
<1217>,  Valor: 0.09623839765510503
<1218>,  Valor: 0.789447972642892
<1219>,  Valor: 0.8827552515876893
<1220>,  Valor: 0.5872007816316561
<1221>,  Valor: 0.020029311187103077
<1222>,  Valor: 0.5803615046409379
<1223>,  Valor: 0.8221787982413288
<1224>,  Valor: 0.8314606741573034
<1225>,  Valor: 0.10014655593551539
<1226>,  Valor: 0.9027845627747924
<1227>,  Valor: 0.16756228627259404
<1228>,  Valor: 0.8568637029799707
<1229>,  Valor: 0.8368343917928676
<1230>,  Valor: 0.25598436736687835
<1231>,  Valor: 0.41963849535906206
<1232>,  Valor: 0.16316560820713238
<1233>,  Valor: 0.7293600390815828
<1234>,  Valor: 0.14069369809477283
<1235>,  Valor: 0.07767464582315584
<1236>,  Valor: 0.2510991695163654
<1237>,  Valor: 0.27796775769418663
<1238>,  Valor: 0.05666829506595017
<1239>,  Valor: 0.6424035173424524
<1240>,  Valor: 0.6204201270151442
<1241>,  Valor: 0.9833903273082559
<1242>,  Valor: 0.504152418172936
<1243>,  Valor: 0.6130923302393747
<1244>,  Valor: 0.7708842208109429
<1245>,  Valor: 0.3444064484611627
<1246>,  Valor: 0.9829018075232047
<1247>,  Valor: 0.4899853444064485
<1248>,  Valor: 0.20224719101123595
<1249>,  Valor: 0.8622374206155349
<1250>,  Valor: 0.9926722032242306
<1251>,  Valor: 0.7733268197361993
<1252>,  Valor: 0.4152418172936004
<1253>,  Valor: 0.0356619443087445
<1254>,  Valor: 0.03321934538348803
<1255>,  Valor: 0.9628724963361016
<1256>,  Valor: 0.9096238397655105
<1257>,  Valor: 0.36590131900341966
<1258>,  Valor: 0.6057645334636053
<1259>,  Valor: 0.5583781143136297
<1260>,  Valor: 0.18466047874938935
<1261>,  Valor: 0.3522227650219834
<1262>,  Valor: 0.20908646800195407
<1263>,  Valor: 0.06008793356130923
<1264>,  Valor: 0.7415730337078652
<1265>,  Valor: 0.4948705422569614
<1266>,  Valor: 0.3439179286761114
<1267>,  Valor: 0.9687347337567171
<1268>,  Valor: 0.07914020517830972
<1269>,  Valor: 0.29360039081582806
<1270>,  Valor: 0.5100146555935515
<1271>,  Valor: 0.7830972154372252
<1272>,  Valor: 0.6985832926233513
<1273>,  Valor: 0.24865657059110893
<1274>,  Valor: 0.2071323888617489
<1275>,  Valor: 0.003419638495359062
<1276>,  Valor: 0.0986809965803615
<1277>,  Valor: 0.8602833414753297
<1278>,  Valor: 0.9360039081582804
<1279>,  Valor: 0.13043478260869565
<1280>,  Valor: 0.7806546165119688
<1281>,  Valor: 0.6277479237909135
<1282>,  Valor: 0.19540791402051783
<1283>,  Valor: 0.6638983878847093
<1284>,  Valor: 0.2432828529555447
<1285>,  Valor: 0.05129457743038593
<1286>,  Valor: 0.4865657059110894
<1287>,  Valor: 0.10307767464582315
<1288>,  Valor: 0.9877870053737177
<1289>,  Valor: 0.6316560820713238
<1290>,  Valor: 0.30874450415241816
<1291>,  Valor: 0.9491939423546654
<1292>,  Valor: 0.5129457743038593
<1293>,  Valor: 0.8680996580361504
<1294>,  Valor: 0.1621885686370298
<1295>,  Valor: 0.7010258915486077
<1296>,  Valor: 0.31949193942354664
<1297>,  Valor: 0.26038104543234003
<1298>,  Valor: 0.5471421592574499
<1299>,  Valor: 0.8593063019052272
<1300>,  Valor: 0.9076697606253054
<1301>,  Valor: 0.3092330239374695
<1302>,  Valor: 0.9633610161211529
<1303>,  Valor: 0.923790913531998
<1304>,  Valor: 0.7767464582315584
<1305>,  Valor: 0.5144113336590131
<1306>,  Valor: 0.9106008793356131
<1307>,  Valor: 0.39423546653639474
<1308>,  Valor: 0.42696629213483145
<1309>,  Valor: 0.37567171470444555
<1310>,  Valor: 0.8891060087933561
<1311>,  Valor: 0.7713727405959941
<1312>,  Valor: 0.3585735222276502
<1313>,  Valor: 0.39325842696629215
<1314>,  Valor: 0.39863214460185636
<1315>,  Valor: 0.5544699560332194
<1316>,  Valor: 0.071323888617489
<1317>,  Valor: 0.06692721055202736
<1318>,  Valor: 0.9399120664386907
<1319>,  Valor: 0.243771372740596
<1320>,  Valor: 0.06546165119687347
<1321>,  Valor: 0.8974108451392281
<1322>,  Valor: 0.01172447484123107
<1323>,  Valor: 0.33952125061064975
<1324>,  Valor: 0.8412310698583293
<1325>,  Valor: 0.38348803126526626
<1326>,  Valor: 0.11529066927210552
<1327>,  Valor: 0.34147532975085493
<1328>,  Valor: 0.8978993649242795
<1329>,  Valor: 0.025891548607718612
<1330>,  Valor: 0.7503663898387885
<1331>,  Valor: 0.7498778700537372
<1332>,  Valor: 0.7357107962872497
<1333>,  Valor: 0.3248656570591109
<1334>,  Valor: 0.41621885686370297
<1335>,  Valor: 0.06399609184171959
<1336>,  Valor: 0.8549096238397655
<1337>,  Valor: 0.7801660967269174
<1338>,  Valor: 0.613580850024426
<1339>,  Valor: 0.7850512945774304
<1340>,  Valor: 0.7552515876893015
<1341>,  Valor: 0.8915486077186126
<1342>,  Valor: 0.8422081094284318
<1343>,  Valor: 0.41182217879824135
<1344>,  Valor: 0.936980947728383
<1345>,  Valor: 0.15876893014167073
<1346>,  Valor: 0.6018563751831949
<1347>,  Valor: 0.4450415241817294
<1348>,  Valor: 0.8998534440644846
<1349>,  Valor: 0.08255984367366878
<1350>,  Valor: 0.39276990718124083
<1351>,  Valor: 0.38446507083536885
<1352>,  Valor: 0.1436248168050806
<1353>,  Valor: 0.1626770884220811
<1354>,  Valor: 0.7151929653150952
<1355>,  Valor: 0.7303370786516854
<1356>,  Valor: 0.16902784562774792
<1357>,  Valor: 0.8993649242794333
<1358>,  Valor: 0.06839276990718124
<1359>,  Valor: 0.9824132877381534
<1360>,  Valor: 0.4758182706399609
<1361>,  Valor: 0.7918905715681485
<1362>,  Valor: 0.953590620420127
<1363>,  Valor: 0.6404494382022472
<1364>,  Valor: 0.563751831949194
<1365>,  Valor: 0.34049829018075234
<1366>,  Valor: 0.8695652173913043
<1367>,  Valor: 0.20468978993649242
<1368>,  Valor: 0.9330727894479727
<1369>,  Valor: 0.045432340009770394
<1370>,  Valor: 0.3165608207132389
<1371>,  Valor: 0.17537860283341475
<1372>,  Valor: 0.08304836345872008
<1373>,  Valor: 0.4069369809477284
<1374>,  Valor: 0.7953102100635075
<1375>,  Valor: 0.05227161700048852
<1376>,  Valor: 0.5148998534440645
<1377>,  Valor: 0.9247679531021006
<1378>,  Valor: 0.8050806057645334
<1379>,  Valor: 0.3356130923302394
<1380>,  Valor: 0.727894479726429
<1381>,  Valor: 0.09819247679531021
<1382>,  Valor: 0.8461162677088422
<1383>,  Valor: 0.5251587689301417
<1384>,  Valor: 0.22178798241328773
<1385>,  Valor: 0.42843185148998536
<1386>,  Valor: 0.41817293600390815
<1387>,  Valor: 0.12066438690766976
<1388>,  Valor: 0.49731314118221787
<1389>,  Valor: 0.4147532975085491
<1390>,  Valor: 0.02149487054225696
<1391>,  Valor: 0.6228627259404006
<1392>,  Valor: 0.0537371763556424
<1393>,  Valor: 0.5574010747435271
<1394>,  Valor: 0.15632633121641426
<1395>,  Valor: 0.5310210063507572
<1396>,  Valor: 0.39179286761113824
<1397>,  Valor: 0.35613092330239376
<1398>,  Valor: 0.3224230581338544
<1399>,  Valor: 0.3453834880312653
<1400>,  Valor: 0.01074743527112848
<1401>,  Valor: 0.31118710307767466
<1402>,  Valor: 0.019540791402051783
<1403>,  Valor: 0.5661944308744504
<1404>,  Valor: 0.41133365901319
<1405>,  Valor: 0.9228138739618954
<1406>,  Valor: 0.7484123106985833
<1407>,  Valor: 0.693209574987787
<1408>,  Valor: 0.09281875915974597
<1409>,  Valor: 0.6902784562774792
<1410>,  Valor: 0.007816316560820713
<1411>,  Valor: 0.22618466047874938
<1412>,  Valor: 0.5559355153883733
<1413>,  Valor: 0.11382510991695163
<1414>,  Valor: 0.2989741084513923
<1415>,  Valor: 0.6658524670249145
<1416>,  Valor: 0.29995114802149486
<1417>,  Valor: 0.6941866145578895
<1418>,  Valor: 0.12115290669272105
<1419>,  Valor: 0.5114802149487054
<1420>,  Valor: 0.8255984367366879
<1421>,  Valor: 0.9306301905227161
<1422>,  Valor: 0.975085490962384
<1423>,  Valor: 0.2633121641426478
<1424>,  Valor: 0.6321446018563752
<1425>,  Valor: 0.32291157791890573
<1426>,  Valor: 0.3595505617977528
<1427>,  Valor: 0.42159257449926724
<1428>,  Valor: 0.21983390327308255
<1429>,  Valor: 0.3717635564240352
<1430>,  Valor: 0.7757694186614558
<1431>,  Valor: 0.4860771861260381
<1432>,  Valor: 0.08891060087933561
<1433>,  Valor: 0.5769418661455789
<1434>,  Valor: 0.723009281875916
<1435>,  Valor: 0.9570102589154861
<1436>,  Valor: 0.73961895456766
<1437>,  Valor: 0.43820224719101125
<1438>,  Valor: 0.701514411333659
<1439>,  Valor: 0.3336590131900342
<1440>,  Valor: 0.6712261846604788
<1441>,  Valor: 0.45578895945285786
<1442>,  Valor: 0.21104054714215925
<1443>,  Valor: 0.1167562286272594
<1444>,  Valor: 0.3839765510503175
<1445>,  Valor: 0.12945774303859306
<1446>,  Valor: 0.7523204689789936
<1447>,  Valor: 0.8065461651196874
<1448>,  Valor: 0.378114313629702
<1449>,  Valor: 0.9599413776257938
<1450>,  Valor: 0.8246213971665852
<1451>,  Valor: 0.9022960429897411
